Place;Thinking time;VP from Military Conflicts (Victory);VP from Military Conflicts (Defeat);VP from Treasury Contents;VP from Wonder; VP from Civilian Structures;VP from Scientific Structures;VP from Commercial Structures;VP from Guilds;Constructed stages of the Wonder;Cards discarded;Chained constructions;Coins spent on commerce;Coins gained through commerce;Shields;Wonder side A;Wonder ID;Civilian Structures;Scientific Structures;Guilds;Military Structures;Commercial Structures;Raw Materials;Manufactured Goods
1st (62);04:08;9;-2;0;3;0;25;4;23;3;1;2;22;2;3;no;9;0;4;3;2;4;3;0
2nd (54);03:58;15;-1;6;5;19;0;3;7;3;1;2;9;10;10;no;10;4;0;0;5;3;2;0
3rd (51);03:22;0;-6;6;15;11;9;9;7;3;0;2;8;18;0;yes;1;2;3;1;0;3;3;3
4th (48);03:26;11;-2;4;7;24;0;0;4;3;1;1;4;13;8;no;13;5;0;1;4;1;3;0
1st (54);04:50;9;0;10;7;18;0;5;5;2;0;1;15;24;9;no;11;3;0;1;3;5;3;1
2nd (48);05:21;11;-2;3;5;7;0;4;20;3;2;1;10;8;7;no;10;2;0;2;3;2;4;0
3rd (46);04:47;0;-5;2;3;5;34;0;7;3;3;3;14;6;2;no;9;1;6;1;1;1;2;2
4th (44);03:38;6;-1;7;10;13;1;3;5;3;0;0;18;19;9;no;12;2;1;1;4;1;4;2
1st (63);03:34;14;0;6;3;21;0;5;14;3;0;2;10;14;6;no;14;4;0;2;3;3;5;1
2nd (55);04:00;0;-2;5;3;3;36;3;7;3;2;4;16;9;3;no;9;1;4;2;2;2;2;2
3rd (52);04:19;0;-6;8;10;14;13;4;9;3;0;4;5;13;0;no;12;3;4;1;0;4;2;1
4th (52);05:22;14;0;1;5;20;0;0;12;3;1;1;12;7;9;no;10;5;0;1;4;1;2;1
1st (59);02:40;12;-1;10;7;18;1;3;9;3;0;1;4;25;5;no;13;4;1;1;3;2;3;1
2nd (54);03:31;0;-6;3;20;20;0;8;9;4;0;0;15;6;0;no;8;4;0;1;0;4;3;2
3rd (49);03:54;10;-2;4;3;3;13;5;13;3;0;2;12;12;9;no;14;1;4;2;4;5;2;0
4th (45);02:51;12;-1;3;7;20;0;4;0;2;3;1;14;2;8;no;11;4;0;0;3;1;4;1
1st (53);02:58;13;-3;2;5;22;0;0;14;3;0;1;10;10;8;no;10;5;0;1;3;2;2;2
2nd (46);04:14;15;-1;8;7;8;0;3;6;3;3;0;9;12;7;no;13;1;0;1;4;3;3;0
3rd (46);04:16;7;-3;7;7;8;0;3;17;2;2;0;16;14;5;no;11;2;0;3;2;2;3;2
4th (42);03:25;1;-5;4;20;15;0;7;0;4;2;3;6;5;1;no;8;3;0;0;1;4;3;1
1st (65);01:57;9;-1;7;10;6;0;8;26;3;0;0;4;6;3;no;12;1;0;3;2;3;4;2
2nd (60);02:25;18;0;2;7;12;5;0;16;2;0;3;11;8;7;no;11;3;3;2;3;2;2;1
3rd (58);02:54;0;-6;5;3;11;38;7;0;3;0;5;12;4;0;no;14;2;8;0;0;4;3;1
4th (43);02:26;5;-3;5;7;25;0;4;0;3;1;3;2;11;6;no;13;6;0;0;3;1;4;0
1st (55);04:42;0;-4;3;5;3;36;0;12;3;1;4;14;10;1;no;10;1;8;1;1;1;0;2
2nd (50);04:42;8;-1;5;7;23;0;8;0;2;1;2;11;3;5;no;11;5;0;0;2;4;4;0
3rd (48);03:40;11;-1;2;3;11;10;7;5;3;1;1;20;15;5;no;9;2;2;1;3;2;4;1
4th (46);06:27;10;-1;6;3;24;4;0;0;2;0;2;4;21;9;no;14;5;2;0;4;3;4;0
1st (65);03:52;17;0;2;15;5;0;8;18;3;1;0;12;2;6;yes;1;1;0;2;3;3;5;0
2nd (63);02:40;17;0;8;7;15;0;0;16;2;2;2;7;7;7;no;11;3;0;2;3;3;3;0
3rd (49);04:24;0;-4;2;0;21;26;4;0;1;1;5;4;1;1;no;13;5;6;0;1;1;1;2
4th (39);04:16;0;-6;10;5;17;0;3;10;3;1;0;5;18;5;no;10;3;0;1;2;2;3;3
1st (65);03:41;8;-4;7;3;0;31;4;16;3;0;3;14;23;5;no;9;0;6;2;2;3;2;2
2nd (57);03:32;11;-1;6;7;21;0;7;6;2;1;1;14;14;5;no;11;4;0;1;2;3;4;1
3rd (55);04:54;14;-1;9;7;17;0;3;6;3;2;0;16;14;6;no;13;3;0;1;3;3;3;0
4th (40);04:26;1;-4;1;20;14;0;3;5;4;2;0;21;14;4;no;8;3;0;1;2;2;3;1
1st (68);02:51;0;-6;1;3;8;55;0;7;2;1;4;16;16;0;no;14;1;9;2;0;0;3;2
2nd (67);02:24;17;0;9;7;18;0;0;16;2;1;1;8;19;8;no;11;4;0;2;3;2;3;1
3rd (56);02:50;18;0;6;5;2;0;11;14;3;1;0;16;4;7;no;10;1;0;1;4;6;2;0
4th (51);03:37;0;-5;5;10;29;4;0;8;3;1;3;7;8;1;no;12;6;2;1;1;2;2;0
1st (61);03:57;13;-1;7;10;14;10;0;8;3;0;0;18;19;7;no;12;2;3;1;4;1;3;1
2nd (49);05:21;6;-3;2;7;22;0;3;12;3;2;1;8;1;4;no;13;5;0;2;2;2;2;0
3rd (46);04:02;11;-3;4;3;14;10;0;7;3;0;2;12;22;10;no;9;3;2;1;4;2;4;1
4th (43);05:17;1;-4;2;2;4;16;8;14;1;0;3;8;4;4;no;14;1;4;2;2;3;4;2
1st (60);03:14;10;-2;6;3;17;13;7;6;3;0;3;8;14;2;no;9;4;3;1;2;4;2;1
2nd (59);02:47;0;-6;1;10;16;38;0;0;3;0;5;22;10;0;no;12;4;7;1;0;0;2;1
3rd (53);03:29;9;0;7;5;23;0;4;5;3;1;0;11;16;6;no;10;4;0;0;3;2;4;1
4th (48);03:10;8;-1;4;7;5;0;4;21;3;1;0;8;9;6;no;13;1;0;3;3;3;4;0
1st (58);03:36;16;-1;3;7;4;1;4;24;3;0;0;5;9;8;no;13;1;1;3;4;2;4;0
2nd (50);03:55;10;-2;5;5;15;0;3;14;3;2;1;15;7;7;no;10;3;0;1;4;2;2;1
3rd (50);03:38;9;-2;4;5;30;0;4;0;2;0;3;10;6;7;no;12;6;0;0;3;4;3;0
4th (45);03:09;0;-6;7;3;10;16;9;6;2;1;2;8;16;3;no;9;2;5;1;1;2;3;3
1st (51);03:19;0;-6;1;5;8;31;0;12;3;1;3;11;8;0;no;10;1;7;1;0;1;3;1
2nd (46);04:44;13;-1;3;3;15;1;6;6;3;1;1;18;7;7;no;9;3;0;1;4;3;3;2
3rd (45);02:50;10;-3;7;7;7;0;3;14;3;1;1;4;20;9;no;13;2;0;2;4;3;3;0
4th (45);04:45;12;-1;5;3;17;0;2;7;3;2;0;10;8;5;no;14;4;0;1;3;4;3;1
1st (65);03:34;18;0;1;20;0;0;0;26;4;0;1;12;8;7;no;8;0;0;3;4;1;5;1
2nd (53);04:58;5;-4;3;3;19;21;6;0;3;0;3;8;10;5;no;9;3;5;0;2;1;3;3
3rd (50);03:30;2;-3;10;7;14;0;12;8;2;1;2;7;8;3;no;11;3;0;1;1;8;2;0
4th (50);03:24;8;-4;2;3;10;25;0;6;3;0;2;8;9;6;no;14;2;5;2;3;2;3;1
1st (59);03:01;10;0;5;7;16;0;3;18;2;0;0;12;7;8;no;11;4;0;3;3;2;3;1
2nd (57);02:45;0;-6;3;10;0;50;0;0;3;0;6;11;2;0;no;12;0;10;0;0;3;1;1
3rd (51);03:03;9;-1;4;7;13;0;0;19;3;0;0;0;12;8;no;13;2;0;3;4;1;4;1
4th (47);02:51;9;-3;6;3;21;4;7;0;3;2;2;9;11;3;no;9;4;1;0;2;3;4;1
1st (61);04:06;12;-1;2;7;30;0;3;8;3;1;1;12;12;5;no;13;6;0;1;3;1;3;0
2nd (55);02:52;0;-6;3;10;0;48;0;0;3;2;4;10;0;0;no;12;0;8;1;0;0;2;2
3rd (53);03:25;10;-1;10;3;22;0;9;0;2;0;2;14;26;10;no;14;4;0;0;5;6;3;0
4th (49);03:51;9;-1;9;7;7;0;6;12;2;0;0;14;12;8;no;11;2;0;2;3;5;2;2
1st (70);04:45;0;-4;1;3;2;62;0;6;1;2;7;8;4;0;no;9;1;11;1;0;1;0;1
2nd (51);02:50;9;-3;7;7;13;0;3;15;3;1;0;6;4;8;no;13;2;0;2;4;2;4;0
3rd (47);04:47;18;0;10;5;6;0;3;5;2;2;2;4;11;9;no;12;1;0;1;5;3;4;0
4th (41);03:12;5;-3;2;3;30;0;4;0;1;0;3;4;3;6;no;8;7;0;0;2;3;4;1
