Place;Thinking time;VP from Military Conflicts (Victory);VP from Military Conflicts (Defeat);VP from Treasury Contents;VP from Wonder; VP from Civilian Structures;VP from Scientific Structures;VP from Commercial Structures;VP from Guilds;Constructed stages of the Wonder;Cards discarded;Chained constructions;Coins spent on commerce;Coins gained through commerce;Shields;Wonder side A;Wonder ID;Civilian Structures;Scientific Structures;Guilds;Military Structures;Commercial Structures;Raw Materials;Manufactured Goods
1st (59);04:22;0;-6;4;3;3;55;0;0;3;1;3;22;14;0;no;9;1;9;0;0;2;2;2
2nd (59);03:36;17;0;3;3;22;0;0;14;2;0;1;8;12;9;no;14;5;0;2;4;2;4;1
3rd (57);03:31;9;-2;6;5;22;0;2;15;2;0;1;8;19;5;no;10;5;0;2;3;2;3;1
4th (54);03:29;16;0;6;7;14;0;5;6;2;1;1;13;14;10;no;11;2;0;1;4;3;4;1
5th (47);04:08;0;-4;3;10;4;26;0;8;3;0;4;14;6;7;no;12;1;6;1;3;2;1;1
1st (61);02:39;13;-1;1;5;23;0;0;20;3;1;2;14;8;6;no;10;5;0;2;3;3;1;0
2nd (58);01:49;0;-5;3;5;0;55;0;0;2;0;5;6;5;3;no;12;0;9;1;1;1;3;1
3rd (57);03:30;4;-3;7;20;3;0;13;13;4;0;2;12;9;3;no;8;1;0;2;2;6;3;0
4th (53);02:44;13;-1;5;7;23;0;0;6;2;0;0;7;16;9;no;11;4;0;1;4;1;3;3
5th (39);03:05;10;-4;8;3;9;4;9;0;3;1;1;12;13;11;no;9;2;1;0;4;3;3;3
1st (56);03:50;0;-5;3;3;2;43;0;10;3;1;3;12;14;0;no;14;1;9;1;0;1;3;2
2nd (55);02:20;13;-2;7;7;18;0;3;9;3;0;0;4;10;8;no;13;4;0;1;3;3;4;0
3rd (51);03:17;18;0;4;7;11;0;3;8;2;1;1;6;4;9;no;11;2;0;1;4;3;4;1
4th (50);02:34;4;-4;6;5;26;0;7;6;3;0;0;8;8;3;no;10;5;0;0;2;4;2;2
5th (43);03:54;9;-3;1;20;7;0;4;5;4;0;0;12;6;6;no;8;1;0;1;3;4;4;1
1st (69);03:17;8;-4;6;3;9;43;4;0;3;0;4;10;25;2;no;14;2;9;0;1;1;4;1
2nd (61);03:54;17;0;5;5;21;0;4;9;3;0;1;16;13;6;no;10;4;0;1;3;3;2;2
3rd (55);03:42;16;0;6;7;13;0;3;10;3;3;1;16;10;8;no;13;3;0;1;4;2;2;0
4th (51);03:05;1;-4;3;10;0;31;0;10;3;1;2;16;10;1;no;12;0;6;3;1;2;2;0
4th (51);03:54;0;-4;3;20;28;0;4;0;4;1;0;15;15;1;no;8;5;0;0;1;3;2;2
1st (64);02:43;13;-1;6;5;15;0;2;24;3;1;1;3;8;5;no;10;4;0;2;2;3;2;1
2nd (53);03:25;18;0;4;7;16;0;3;5;3;2;1;8;7;9;no;13;3;0;1;5;1;2;1
3rd (50);02:39;0;-4;1;10;23;4;3;13;3;0;1;24;3;2;no;12;5;2;2;1;2;2;1
4th (48);03:34;1;-5;1;3;17;31;0;0;3;0;2;4;7;1;no;9;3;5;1;1;2;4;1
5th (47);03:21;9;-3;8;7;8;10;4;4;2;0;2;6;20;8;no;11;2;3;1;3;2;4;1
1st (63);04:21;16;-2;4;7;20;9;0;9;3;0;3;6;10;5;no;13;4;3;1;2;2;3;0
2nd (54);04:58;8;-3;6;3;5;31;4;0;3;1;2;12;18;3;no;14;1;6;1;2;2;4;1
3rd (52);02:54;18;0;6;7;6;1;0;14;2;1;1;8;16;9;no;11;1;1;2;4;3;4;0
4th (50);03:51;1;-4;1;20;16;0;0;16;4;2;1;12;8;1;no;8;3;0;2;1;1;3;2
5th (42);05:23;1;-5;6;10;13;9;3;5;3;0;4;20;6;4;no;12;3;3;1;2;4;1;1
1st (62);02:17;17;-1;7;7;14;0;4;14;3;1;0;2;16;8;no;13;2;0;2;4;1;4;1
2nd (57);03:23;0;-6;0;5;10;48;0;0;2;1;6;20;3;0;no;12;2;9;0;0;1;2;1
3rd (51);02:49;12;-2;7;5;8;0;6;15;3;1;2;8;14;8;no;10;2;0;2;4;3;2;1
4th (48);03:18;11;-1;6;3;10;10;9;0;3;0;2;16;12;11;no;9;2;2;0;5;4;1;3
5th (48);04:07;1;-3;3;3;23;0;0;21;1;2;3;11;12;2;no;11;5;0;3;1;3;3;0
1st (61);03:35;4;-4;5;10;37;9;0;0;3;0;4;15;17;1;no;12;6;3;0;1;2;3;0
2nd (58);03:22;13;-1;2;5;9;0;3;27;3;0;1;15;8;6;no;10;2;0;4;4;3;2;0
3rd (54);04:13;10;-2;1;3;4;38;0;0;3;1;4;20;15;6;no;9;1;6;1;2;1;2;3
